episode,run0,run1,run2,run3,run4
25,-93.20986957072199,-76.65623102605242,-100.0345299853783,-89.57334144038427,-84.88711996253821
26,-88.72875924239503,-80.97048352578403,-89.87247169237807,-88.03278743750612,-87.67511451384851
27,-80.73730371574965,-82.01900055472518,-93.76597714867019,-77.93846073056164,-99.08592367147658
28,-75.12537758777452,-95.84834340452741,-88.47552032142468,-93.65462169742995,-91.4718109561283
29,-89.07348482708416,-81.82943295640851,-86.76423317965728,-79.08069955649279,-88.82280120577825
30,-82.56658888228284,-92.5740342225926,-72.03967141180794,-80.39959237899897,-87.70680907490849
31,-89.91105703864767,-88.3235514919159,-84.16555949436776,-83.95315639590684,-87.65509558824071
32,-77.61486846616134,-88.01184531205261,-91.77682796174267,-86.17009611438182,-91.3105528758065
33,-91.72870729626175,-86.27341017109397,-90.80894972243763,-84.60600528116403,-88.03356458100389
34,-89.4849714738111,-77.35959604964873,-80.08396605759152,-90.36093897377418,-86.39533912139403
35,-74.31860131021257,-82.20004485397794,-90.1754390430664,-81.28002325847277,-82.5370782654125
36,-81.92138833031306,-80.69874493348972,-82.34160129137928,-84.90248683561592,-81.58546205181071
37,-85.86296421524425,-82.14209709046845,-78.5800003158285,-80.61882476613937,-85.11342284480554
38,-80.77522295181278,-84.79611581235952,-77.91514697527131,-93.53372559833427,-90.74863440860071
39,-88.9396737873111,-82.27796931247431,-88.55907590228904,-101.3621021575329,-86.24631849793545
40,-87.55599670215155,-87.00866305275466,-83.98909373775973,-86.74622431596461,-93.84471926810747
41,-92.90954168548961,-76.97966798383321,-92.71380348678679,-93.7098760551309,-85.76645900470977
42,-92.88242997092887,-86.99660579887087,-74.52433335747013,-103.13470045235903,-75.70957540280054
43,-76.43902111923336,-87.91848083719441,-83.24664317061536,-71.16011419680953,-76.762000031354
44,-86.11406193188051,-84.26701228601999,-77.616918092072,-82.6528372734771,-72.78297878902421
45,-88.71656622884049,-82.79131497071245,-87.99192819490074,-92.96192283229412,-95.17765435749995
46,-83.03364785094026,-82.1657575749065,-85.03942287781078,-86.90444320493913,-86.68573877534097
47,-86.79932878668863,-89.38441461588047,-80.6024235349701,-98.10372734822342,-82.58680945956701
48,-92.83733982264204,-91.15877521966173,-102.85848917313244,-93.68362633855521,-91.85906446485718
49,-83.49380856533264,-91.71398873597414,-87.53460266343892,-96.85015641681754,-84.30237364221492
50,-85.08755112615744,-98.47092126488823,-90.32317147998924,-82.69981972108644,-96.99904071624732
51,-85.14600802978303,-88.6205299894209,-83.9965475047569,-94.12685225394739,-93.89377186763413
52,-85.543385001325,-92.9095953869549,-85.88963056853858,-97.32253542704412,-74.76347583040885
53,-88.37462302324444,-98.6869232522702,-88.44419092470329,-66.28110461749252,-90.21899828070582
54,-86.90894637312375,-85.72590176086818,-78.42780353933966,-84.12183411677213,-96.26518528974104
55,-88.12536349737628,-90.77459867046255,-85.44181184379597,-81.54528928565652,-74.6185121946084
56,-95.29371905285625,-87.24085972563344,-96.83612585274557,-95.54296743740325,-78.62759042241359
57,-93.82379105029004,-69.03023367906185,-91.98153897009593,-87.16911025385804,-93.2479118056497
58,-86.85429941971356,-86.98578409566714,-76.42693483349852,-89.21724977366553,-93.4423731143465
59,-90.82860037965125,-97.99101013761539,-86.57627391442719,-83.80324241282592,-82.32050892668065
60,-91.09836280534283,-88.11516573022969,-84.6773481975568,-93.6931045682179,-86.84745338201056
61,-88.22524503074003,-88.06837331060571,-96.38599228894103,-87.29532168150635,-74.44569979358802
62,-82.73101157610066,-92.89852776444734,-87.59980416031271,-78.90319850619662,-85.56060623426056
63,-89.2592921724365,-96.40980711244198,-83.91775087850638,-82.8526580017158,-83.09523916793559
64,-89.8851162673834,-87.86893105644747,-89.35049055325032,-86.39778413994254,-86.43322038007152
65,-90.79345647812895,-81.38926851154378,-74.8530194333839,-84.15697246733542,-87.94831505482486
66,-83.49532384817309,-83.0987875067373,-94.88794922948493,-83.73813379238587,-79.44257013789789
67,-93.61516843597471,-82.93437084083176,-85.98362650030678,-94.95811580695236,-76.92282694899896
68,-88.12038121351141,-87.26233511914869,-77.14902348699555,-93.2797279809953,-90.41025752002328
69,-90.01613117159434,-89.03288461895337,-83.22694851962585,-80.44423256031689,-83.295295565372
70,-92.41636155220867,-79.82720731431138,-93.62143725421251,-77.47003429143224,-86.1623276520787
71,-94.5579495294644,-80.98740439983689,-87.65758002471253,-101.72780273050257,-81.54962277403557
72,-96.2079535293942,-80.49925106983196,-79.40296798045453,-100.16780608650332,-94.51577336202524
73,-81.37881579679247,-83.63049431135113,-75.86535224953538,-89.25215623567806,-85.23907188748962
74,-86.78368491394141,-90.16807474134424,-83.51318505719257,-79.55545630192853,-78.4820727438174
75,-84.10027523383836,-81.06122909540004,-86.0243350349211,-96.29341985868592,-74.70079685596443
76,-86.10177932995917,-84.07455129694388,-71.40333059808339,-90.92809448458904,-80.53227180516241
77,-88.43652258964845,-88.19686774556565,-97.02017695604451,-80.93555048291711,-83.51634554855312
78,-87.98500967057807,-83.2113928602453,-86.95025567271078,-92.36507726816629,-88.21211929016557
79,-91.55515321649945,-82.01622638930786,-92.09425207895913,-84.07600815059898,-75.64787981600776
80,-80.30474426772231,-89.5071253913174,-78.71381269765688,-87.17049225778487,-88.2993167532906
81,-90.80341938101365,-75.92133331267114,-84.67957048092737,-91.54902375948214,-91.20824986377556
82,-93.80753660591014,-79.80489383060909,-88.96300279407819,-83.68756145230603,-85.72324813948127
83,-97.31547401374283,-88.93843436571174,-89.68037390265481,-85.78344269417144,-95.38758848389487
84,-87.58305696592623,-78.21413922202787,-84.89579180376144,-79.27554084773729,-90.54763593780872
85,-84.60546732574277,-93.13421237379443,-91.47044100901752,-88.61863495103283,-83.49479492375215
86,-92.80984860543973,-84.49212204289721,-79.40398337073026,-91.82101029243552,-85.72187113608284
87,-78.65601552511714,-100.95891830738447,-93.10376710073658,-94.3271629881827,-93.63817816628358
88,-88.49323806904708,-68.7263816407019,-93.91227888648781,-85.58095981128724,-87.70809455382778
89,-90.41921293024805,-83.78166605311556,-76.5552306178963,-94.11149760984559,-81.95978588555289
90,-85.02102156620445,-82.25758179531306,-88.26114011750988,-79.09069949367469,-90.54002216266247
