episode,run0,run1,run2,run3,run4
145,37.0,71.0,3.0,66.0,35.0
146,56.0,67.0,21.0,36.0,12.0
147,13.0,57.0,45.0,56.0,24.0
148,31.0,72.0,49.0,66.0,11.0
149,23.0,68.0,48.0,56.0,22.0
150,57.0,26.0,69.0,61.0,48.0
151,44.0,58.0,51.0,56.0,4.0
152,53.0,64.0,58.0,42.0,46.0
153,22.0,48.0,62.0,7.0,30.0
154,4.0,70.0,102.0,61.0,73.0
155,17.0,56.0,43.0,51.0,15.0
156,32.0,54.0,76.0,9.0,53.0
157,64.0,72.0,28.0,67.0,23.0
158,13.0,68.0,116.0,137.0,13.0
159,44.0,74.0,22.0,91.0,48.0
160,85.0,59.0,99.0,23.0,44.0
161,60.0,68.0,70.0,38.0,97.0
162,101.0,70.0,57.0,15.0,153.0
163,55.0,59.0,19.0,13.0,166.0
164,22.0,67.0,124.0,21.0,138.0
165,14.0,102.0,6.0,147.0,134.0
166,90.0,68.0,58.0,93.0,151.0
167,58.0,55.0,91.0,40.0,269.0
168,31.0,96.0,11.0,130.0,89.0
169,21.0,61.0,11.0,13.0,155.0
170,50.0,44.0,71.0,13.0,83.0
171,50.0,52.0,138.0,170.0,10.0
172,89.0,5.0,49.0,55.0,201.0
173,57.0,84.0,71.0,80.0,148.0
174,80.0,22.0,108.0,49.0,76.0
175,26.0,15.0,66.0,18.0,16.0
176,37.0,51.0,122.0,115.0,27.0
177,71.0,36.0,5.0,47.0,27.0
178,87.0,97.0,118.0,16.0,73.0
179,51.0,53.0,98.0,7.0,204.0
180,51.0,72.0,59.0,35.0,64.0
181,61.0,109.0,25.0,14.0,129.0
182,74.0,14.0,45.0,5.0,89.0
183,74.0,38.0,106.0,148.0,120.0
184,48.0,60.0,25.0,133.0,113.0
185,69.0,64.0,48.0,77.0,124.0
186,51.0,56.0,73.0,64.0,57.0
187,21.0,28.0,13.0,113.0,124.0
188,5.0,39.0,4.0,106.0,79.0
189,49.0,57.0,254.0,81.0,78.0
190,66.0,80.0,40.0,4.0,63.0
191,97.0,62.0,57.0,205.0,2.0
192,72.0,70.0,55.0,24.0,68.0
193,71.0,92.0,53.0,53.0,78.0
194,88.0,63.0,63.0,26.0,59.0
195,52.0,86.0,45.0,120.0,109.0
196,95.0,93.0,70.0,13.0,164.0
197,38.0,53.0,96.0,50.0,161.0
198,79.0,151.0,51.0,72.0,107.0
199,223.0,92.0,12.0,54.0,3.0
200,97.0,61.0,63.0,71.0,123.0
201,13.0,89.0,32.0,78.0,10.0
202,61.0,50.0,47.0,121.0,150.0
203,16.0,54.0,12.0,50.0,86.0
204,116.0,28.0,10.0,96.0,432.0
205,50.0,72.0,17.0,9.0,56.0
206,72.0,42.0,3.0,150.0,44.0
207,48.0,75.0,44.0,232.0,26.0
208,69.0,43.0,25.0,68.0,40.0
209,75.0,7.0,51.0,76.0,19.0
210,43.0,60.0,23.0,59.0,3.0
211,187.0,12.0,37.0,16.0,9.0
212,53.0,76.0,30.0,124.0,40.0
213,38.0,111.0,7.0,108.0,131.0
214,87.0,61.0,6.0,65.0,2.0
215,14.0,62.0,51.0,14.0,69.0
216,84.0,83.0,45.0,8.0,6.0
217,56.0,16.0,10.0,9.0,21.0
218,31.0,16.0,17.0,28.0,101.0
219,83.0,50.0,69.0,63.0,123.0
220,8.0,81.0,64.0,55.0,210.0
221,40.0,68.0,59.0,76.0,194.0
222,15.0,51.0,51.0,21.0,182.0
223,32.0,35.0,48.0,85.0,134.0
224,35.0,114.0,157.0,127.0,44.0
225,77.0,42.0,17.0,49.0,49.0
226,81.0,84.0,101.0,51.0,73.0
227,5.0,53.0,67.0,58.0,16.0
228,8.0,61.0,55.0,56.0,43.0
229,64.0,4.0,8.0,52.0,50.0
230,60.0,21.0,218.0,69.0,49.0
231,87.0,131.0,16.0,41.0,41.0
232,90.0,20.0,29.0,79.0,47.0
233,60.0,43.0,25.0,101.0,45.0
234,65.0,57.0,60.0,183.0,39.0
235,64.0,270.0,8.0,135.0,40.0
236,74.0,69.0,29.0,104.0,2.0
237,72.0,42.0,66.0,36.0,39.0
238,48.0,71.0,37.0,109.0,47.0
239,58.0,6.0,24.0,23.0,42.0
240,52.0,23.0,57.0,15.0,2.0
241,5.0,63.0,39.0,77.0,46.0
242,75.0,73.0,33.0,21.0,12.0
243,68.0,70.0,159.0,20.0,13.0
244,89.0,77.0,37.0,23.0,43.0
245,25.0,63.0,64.0,70.0,2.0
246,31.0,79.0,87.0,35.0,61.0
247,38.0,56.0,44.0,59.0,57.0
248,53.0,54.0,103.0,3.0,15.0
249,15.0,60.0,25.0,58.0,113.0
250,41.0,52.0,168.0,69.0,116.0
251,151.0,6.0,91.0,126.0,58.0
252,92.0,35.0,68.0,66.0,81.0
253,63.0,117.0,26.0,116.0,81.0
254,50.0,29.0,59.0,25.0,2.0
255,17.0,74.0,12.0,37.0,111.0
256,13.0,71.0,52.0,107.0,220.0
257,20.0,6.0,37.0,145.0,209.0
258,260.0,60.0,55.0,5.0,176.0
259,27.0,75.0,51.0,65.0,99.0
260,44.0,14.0,72.0,17.0,97.0
261,68.0,9.0,55.0,131.0,229.0
262,72.0,48.0,171.0,153.0,208.0
263,25.0,66.0,84.0,112.0,151.0
264,42.0,57.0,146.0,102.0,116.0
265,179.0,25.0,106.0,143.0,43.0
266,30.0,2.0,65.0,33.0,32.0
267,63.0,38.0,79.0,134.0,96.0
268,61.0,47.0,8.0,235.0,16.0
269,39.0,281.0,67.0,93.0,62.0
270,11.0,60.0,159.0,99.0,74.0
271,13.0,41.0,132.0,154.0,50.0
272,89.0,65.0,117.0,203.0,69.0
273,5.0,178.0,102.0,55.0,172.0
274,133.0,100.0,45.0,106.0,133.0
275,48.0,177.0,9.0,35.0,25.0
276,15.0,154.0,59.0,28.0,44.0
277,131.0,140.0,148.0,37.0,236.0
278,56.0,204.0,64.0,29.0,220.0
279,70.0,201.0,83.0,14.0,139.0
280,83.0,5.0,58.0,56.0,69.0
281,5.0,78.0,100.0,44.0,68.0
282,56.0,76.0,54.0,25.0,337.0
283,50.0,81.0,10.0,15.0,141.0
284,10.0,115.0,119.0,45.0,67.0
285,66.0,49.0,2.0,174.0,100.0
286,204.0,37.0,173.0,63.0,52.0
287,89.0,71.0,12.0,105.0,10.0
288,194.0,243.0,64.0,159.0,717.0
289,51.0,64.0,64.0,141.0,46.0
290,30.0,18.0,12.0,16.0,187.0
291,46.0,7.0,74.0,58.0,49.0
292,36.0,46.0,61.0,161.0,4.0
293,78.0,41.0,49.0,100.0,46.0
294,27.0,27.0,133.0,130.0,41.0
295,31.0,44.0,74.0,121.0,45.0
296,92.0,67.0,57.0,75.0,5.0
297,34.0,24.0,178.0,170.0,49.0
298,49.0,157.0,154.0,150.0,41.0
299,75.0,231.0,13.0,106.0,11.0
300,123.0,194.0,107.0,50.0,60.0
301,72.0,77.0,53.0,64.0,54.0
302,140.0,253.0,56.0,120.0,3.0
303,103.0,55.0,57.0,143.0,68.0
304,140.0,98.0,16.0,31.0,159.0
305,73.0,102.0,2.0,43.0,235.0
306,113.0,151.0,23.0,88.0,11.0
307,73.0,31.0,43.0,16.0,96.0
308,87.0,187.0,39.0,47.0,89.0
309,122.0,142.0,37.0,57.0,86.0
310,143.0,81.0,55.0,188.0,3.0
311,7.0,52.0,23.0,30.0,64.0
312,73.0,65.0,10.0,105.0,282.0
313,88.0,179.0,44.0,64.0,122.0
314,56.0,36.0,41.0,4.0,112.0
315,166.0,183.0,43.0,65.0,90.0
316,45.0,272.0,48.0,107.0,643.0
317,5.0,139.0,28.0,22.0,43.0
318,75.0,115.0,70.0,8.0,3.0
319,44.0,59.0,22.0,106.0,8.0
320,19.0,88.0,143.0,121.0,2.0
321,51.0,105.0,4.0,54.0,4.0
322,48.0,62.0,16.0,49.0,9.0
323,70.0,205.0,65.0,55.0,50.0
324,83.0,48.0,70.0,171.0,48.0
325,183.0,54.0,76.0,26.0,8.0
326,85.0,58.0,198.0,77.0,48.0
327,55.0,49.0,144.0,46.0,50.0
328,2.0,42.0,204.0,37.0,46.0
329,66.0,55.0,28.0,102.0,4.0
330,132.0,53.0,268.0,54.0,59.0
331,8.0,4.0,190.0,92.0,17.0
332,197.0,52.0,133.0,56.0,58.0
333,67.0,66.0,73.0,36.0,54.0
334,70.0,59.0,55.0,33.0,93.0
335,60.0,51.0,70.0,41.0,58.0
336,82.0,6.0,91.0,49.0,69.0
337,252.0,49.0,145.0,157.0,208.0
338,163.0,7.0,46.0,21.0,71.0
339,98.0,16.0,63.0,105.0,73.0
340,63.0,57.0,13.0,68.0,280.0
341,36.0,117.0,164.0,359.0,24.0
342,114.0,183.0,53.0,180.0,112.0
343,11.0,25.0,81.0,6.0,264.0
344,115.0,72.0,93.0,11.0,375.0
345,30.0,163.0,183.0,68.0,86.0
346,51.0,42.0,28.0,71.0,94.0
347,46.0,52.0,134.0,200.0,82.0
348,33.0,32.0,78.0,74.0,86.0
349,55.0,56.0,55.0,232.0,69.0
350,8.0,15.0,66.0,3.0,73.0
351,3.0,21.0,60.0,42.0,35.0
352,37.0,30.0,51.0,10.0,52.0
353,11.0,79.0,128.0,62.0,24.0
354,4.0,45.0,94.0,81.0,48.0
355,11.0,190.0,113.0,24.0,291.0
356,49.0,70.0,69.0,83.0,368.0
357,58.0,79.0,257.0,72.0,402.0
358,93.0,60.0,103.0,117.0,89.0
359,46.0,97.0,238.0,92.0,10.0
360,238.0,57.0,85.0,39.0,138.0
361,128.0,77.0,74.0,23.0,16.0
362,255.0,57.0,114.0,121.0,93.0
363,33.0,68.0,218.0,52.0,155.0
