lr,gamma,last_100_avg_reward
5e-05,0.98,-95.18641489068114
5e-05,0.99,-98.38394564047141
5e-05,0.995,-95.7692395922398
0.0001,0.98,-80.57088401539781
0.0001,0.99,-83.4098455977892
0.0001,0.995,-101.38014558057833
0.0002,0.98,-83.71739061379952
0.0002,0.99,-83.4197581197559
0.0002,0.995,-120.60551849486049
0.0003,0.98,-85.68462376799913
0.0003,0.99,-125.7948496324621
0.0003,0.995,-119.35535098498028
